,kPa,kPa,kPa,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol
DateTime,Water potential (1.30 from tree),,,Soil Mositure (1m from tree),,,,Soil Mositure (3m from tree),,,,Soil Mositure (8m from tree),,,
DateTime,25 cm,50 cm,75 cm,25 cm,50 cm,75 cm,100cm,25 cm,50 cm,75 cm,100cm,25 cm,50 cm,75 cm,100cm
14/09/2011 17:00,3.5,4.39,5.02,11.44%,9.36%,8.65%,8.95%,7.89%,10.22%,4.62%,14.38%,8.43%,11.84%,13.27%,12.91%
14/09/2011 18:00,3.5,4.39,5.02,11.41%,9.40%,8.61%,9.04%,7.96%,10.09%,4.51%,14.38%,8.33%,11.84%,12.98%,12.95%
14/09/2011 19:00,3.51,4.39,5.02,11.34%,9.01%,8.57%,8.86%,7.95%,10.29%,4.51%,14.29%,8.49%,11.84%,13.01%,12.91%
14/09/2011 20:00,3.5,4.38,5.01,11.35%,9.36%,8.52%,8.95%,8.01%,10.25%,4.45%,14.21%,8.32%,11.84%,13.10%,12.87%
14/09/2011 21:00,3.5,4.38,5.01,11.43%,9.48%,8.57%,9.04%,8.01%,10.21%,4.51%,14.38%,8.53%,11.89%,13.08%,12.95%
14/09/2011 22:00,3.51,4.38,5.01,11.43%,9.22%,8.57%,8.90%,8.08%,10.23%,4.45%,14.38%,8.43%,12.11%,13.23%,12.95%
14/09/2011 23:00,3.51,4.38,5,11.36%,9.14%,8.61%,8.86%,8.08%,10.06%,4.69%,14.21%,8.43%,12.03%,13.10%,12.91%
15/09/2011 00:00,3.51,4.37,4.98,11.41%,9.22%,8.56%,9.04%,7.94%,10.34%,4.51%,14.38%,8.21%,12.00%,12.97%,12.91%
15/09/2011 01:00,3.51,4.37,4.97,11.45%,9.19%,8.57%,8.99%,8.23%,10.44%,4.45%,14.29%,8.37%,11.97%,13.07%,12.87%
15/09/2011 02:00,3.5,4.35,4.96,11.48%,9.11%,8.42%,9.04%,8.22%,10.36%,4.45%,14.21%,8.24%,12.03%,13.06%,12.91%
15/09/2011 03:00,3.51,4.36,4.96,11.42%,9.15%,8.61%,9.04%,8.13%,10.31%,4.62%,14.12%,8.48%,12.00%,13.12%,12.80%
15/09/2011 04:00,3.5,4.35,4.94,11.42%,9.15%,8.31%,9.04%,8.07%,10.24%,4.50%,14.33%,8.60%,11.97%,13.14%,12.80%
15/09/2011 05:00,3.51,4.35,4.95,11.45%,9.15%,8.50%,8.99%,8.12%,10.33%,4.45%,14.38%,8.31%,11.94%,13.06%,12.91%
15/09/2011 06:00,3.51,4.35,4.95,11.40%,9.06%,8.53%,8.99%,8.01%,10.12%,4.62%,14.21%,8.33%,11.97%,13.19%,12.84%
15/09/2011 07:00,3.51,4.34,4.94,11.39%,9.15%,8.53%,9.04%,8.01%,10.20%,4.39%,14.38%,8.38%,11.91%,13.06%,12.84%
15/09/2011 08:00,3.5,4.34,4.93,11.53%,9.15%,8.53%,8.94%,7.95%,10.18%,4.62%,14.29%,8.32%,11.97%,13.19%,12.80%
15/09/2011 09:00,3.51,4.35,4.94,11.61%,9.15%,8.53%,9.04%,7.85%,10.29%,4.69%,14.38%,8.39%,11.97%,13.19%,12.80%
15/09/2011 10:00,3.5,4.34,4.94,11.40%,9.11%,8.53%,8.90%,8.09%,10.23%,4.45%,14.38%,8.45%,12.03%,13.19%,12.84%
15/09/2011 11:00,3.5,4.36,4.97,11.44%,9.06%,8.53%,9.04%,8.12%,10.33%,4.45%,14.38%,8.16%,12.00%,13.15%,12.80%
15/09/2011 12:00,3.5,4.37,5,11.30%,9.11%,8.61%,9.04%,8.17%,10.09%,4.51%,14.29%,8.30%,12.00%,13.15%,12.80%
15/09/2011 13:00,3.5,4.38,5.01,11.44%,9.15%,8.39%,8.99%,8.03%,10.31%,4.39%,14.38%,8.34%,12.03%,13.08%,12.84%
15/09/2011 14:00,3.5,4.39,5.01,11.39%,9.06%,8.50%,9.04%,8.15%,10.33%,4.57%,14.38%,8.48%,12.03%,13.16%,12.84%
15/09/2011 15:00,3.5,4.38,5.01,11.46%,9.06%,8.37%,8.85%,7.99%,10.33%,4.51%,14.38%,8.59%,12.03%,12.99%,12.87%
15/09/2011 16:00,3.5,4.38,5.01,11.35%,9.15%,8.53%,8.95%,8.09%,10.31%,4.51%,14.12%,8.39%,12.03%,12.94%,12.91%
15/09/2011 17:00,3.5,4.39,5.02,11.43%,9.15%,8.64%,8.62%,8.21%,10.22%,4.39%,14.32%,8.40%,11.87%,13.15%,12.95%
15/09/2011 18:00,3.5,4.38,5.01,11.44%,9.15%,8.57%,8.72%,8.09%,10.27%,4.51%,14.21%,8.55%,12.03%,13.23%,12.95%
15/09/2011 19:00,3.5,4.38,5.01,11.38%,9.20%,8.53%,8.86%,8.01%,10.29%,4.50%,14.12%,8.34%,11.95%,13.19%,12.95%
15/09/2011 20:00,3.5,4.38,5,11.28%,9.06%,8.57%,8.81%,8.05%,10.44%,4.56%,14.04%,8.30%,11.87%,13.02%,12.95%
15/09/2011 21:00,3.5,4.38,5,11.47%,9.15%,8.61%,8.99%,7.99%,10.14%,4.49%,14.04%,8.40%,12.03%,13.19%,13.00%
15/09/2011 22:00,3.51,4.38,5,11.65%,9.11%,8.50%,8.81%,8.35%,10.40%,4.56%,14.12%,8.41%,11.95%,13.15%,12.95%
15/09/2011 23:00,3.51,4.37,5,11.48%,9.15%,8.57%,9.04%,8.37%,10.37%,4.38%,14.04%,8.50%,12.03%,13.19%,12.95%
16/09/2011 00:00,3.5,4.37,4.98,11.47%,9.15%,8.50%,8.95%,8.19%,10.28%,4.36%,14.12%,8.23%,12.00%,13.10%,12.95%
16/09/2011 01:00,3.51,4.36,4.97,11.55%,9.15%,8.47%,8.90%,8.22%,10.37%,4.29%,14.16%,8.39%,12.00%,13.19%,12.91%
16/09/2011 02:00,3.51,4.36,4.96,11.47%,9.06%,8.50%,9.04%,7.96%,10.28%,4.11%,14.04%,8.28%,11.94%,13.19%,12.91%
16/09/2011 03:00,3.51,4.35,4.95,11.51%,9.15%,8.37%,8.90%,8.36%,10.36%,4.19%,14.16%,8.35%,11.94%,13.19%,12.87%
16/09/2011 04:00,3.51,4.35,4.95,11.55%,9.08%,8.53%,9.04%,8.24%,10.21%,4.24%,14.04%,8.52%,11.99%,13.19%,12.91%
16/09/2011 05:00,3.51,4.35,4.94,11.39%,9.04%,8.53%,8.95%,8.13%,10.28%,4.24%,14.04%,8.54%,12.07%,13.15%,12.91%
16/09/2011 06:00,3.51,4.35,4.94,11.42%,9.08%,8.50%,9.04%,7.89%,10.28%,4.11%,14.12%,8.35%,12.21%,13.03%,12.91%
16/09/2011 07:00,3.5,4.34,4.94,11.49%,9.08%,8.52%,8.90%,8.20%,10.31%,3.93%,14.12%,8.44%,12.07%,13.19%,12.84%
16/09/2011 08:00,3.5,4.34,4.94,11.40%,9.08%,8.57%,9.04%,8.01%,10.21%,3.99%,14.12%,8.49%,11.80%,13.19%,12.80%
16/09/2011 09:00,3.51,4.35,4.94,11.54%,9.18%,8.39%,8.99%,8.01%,10.17%,4.18%,14.12%,8.35%,12.14%,13.15%,12.84%
16/09/2011 10:00,3.5,4.35,4.95,11.53%,9.00%,8.46%,8.99%,7.91%,10.17%,4.18%,14.16%,8.35%,12.06%,13.15%,12.84%
16/09/2011 11:00,3.51,4.37,4.98,11.40%,9.09%,8.46%,8.99%,8.00%,10.23%,4.23%,14.12%,8.35%,11.99%,13.15%,12.80%
16/09/2011 12:00,3.5,4.37,4.99,11.37%,9.00%,8.55%,9.04%,8.09%,10.25%,4.29%,14.04%,8.51%,12.00%,13.19%,12.84%
16/09/2011 13:00,3.5,4.38,5,11.28%,9.09%,8.50%,8.99%,7.99%,10.33%,4.41%,14.12%,8.41%,11.97%,13.05%,12.95%
16/09/2011 14:00,3.5,4.38,5,11.28%,9.00%,8.50%,9.04%,8.18%,10.21%,4.36%,14.24%,8.48%,12.03%,13.07%,12.95%
16/09/2011 15:00,3.5,4.38,5.01,11.38%,9.08%,8.53%,8.94%,8.17%,10.18%,4.06%,14.04%,8.45%,11.92%,13.10%,12.95%
16/09/2011 16:00,3.5,4.37,5.01,11.31%,9.08%,8.46%,9.04%,8.14%,10.32%,4.35%,14.04%,8.42%,12.03%,13.16%,12.95%
16/09/2011 17:00,3.5,4.38,5.01,11.37%,9.11%,8.50%,9.04%,8.05%,10.37%,4.23%,14.04%,8.44%,12.03%,13.19%,12.95%
16/09/2011 18:00,3.5,4.38,5.01,11.28%,9.08%,8.46%,8.81%,8.01%,10.09%,4.06%,14.07%,8.45%,12.03%,13.15%,12.95%
16/09/2011 19:00,3.5,4.38,5,11.44%,9.08%,8.46%,8.95%,7.93%,10.33%,4.29%,14.13%,8.44%,12.03%,13.15%,12.95%
16/09/2011 20:00,3.5,4.37,5,11.53%,9.15%,8.53%,8.94%,8.11%,10.27%,4.06%,14.10%,8.20%,12.03%,13.06%,12.95%
16/09/2011 21:00,3.51,4.37,4.99,11.51%,9.11%,8.39%,9.04%,8.28%,10.20%,4.11%,14.10%,8.24%,12.03%,13.19%,12.95%
16/09/2011 22:00,3.5,4.36,4.99,11.41%,9.11%,8.54%,8.94%,8.04%,10.24%,4.04%,14.07%,8.29%,12.03%,13.15%,12.95%
16/09/2011 23:00,3.51,4.37,4.98,11.47%,9.08%,8.42%,8.99%,8.04%,10.17%,4.16%,14.07%,8.49%,12.03%,12.92%,12.92%
17/09/2011 00:00,3.5,4.36,4.97,11.43%,9.11%,8.50%,9.04%,7.95%,10.21%,4.23%,14.07%,8.32%,12.00%,13.10%,12.92%
17/09/2011 01:00,3.51,4.36,4.96,11.55%,9.08%,8.46%,8.99%,8.00%,10.20%,4.46%,14.19%,8.42%,12.03%,13.19%,12.95%
17/09/2011 02:00,3.51,4.36,4.97,11.39%,9.22%,8.47%,8.99%,8.08%,10.21%,4.11%,14.19%,8.46%,11.97%,13.06%,12.95%
17/09/2011 03:00,3.51,4.35,4.95,11.42%,9.27%,8.52%,9.04%,8.15%,10.24%,4.18%,14.04%,8.51%,11.94%,13.10%,12.95%
17/09/2011 04:00,3.5,4.35,4.94,11.71%,9.18%,8.53%,8.94%,8.18%,10.21%,4.36%,14.16%,8.33%,11.94%,13.19%,12.88%
17/09/2011 05:00,3.51,4.35,4.94,11.53%,9.09%,8.46%,8.99%,8.32%,10.27%,4.36%,14.04%,8.45%,11.94%,13.06%,12.88%
17/09/2011 06:00,3.51,4.35,4.94,11.40%,9.36%,8.58%,8.99%,8.21%,10.24%,4.24%,14.13%,8.54%,11.88%,13.06%,12.92%
17/09/2011 07:00,3.51,4.34,4.93,11.39%,9.09%,8.55%,8.94%,7.93%,10.25%,4.25%,14.13%,8.39%,11.99%,13.16%,12.84%
17/09/2011 08:00,3.51,4.34,4.94,11.46%,9.18%,8.55%,9.04%,8.15%,10.16%,4.25%,14.13%,8.47%,11.94%,13.10%,12.84%
17/09/2011 09:00,3.51,4.34,4.94,11.60%,9.09%,8.61%,8.89%,8.01%,10.24%,4.24%,14.13%,8.56%,12.03%,13.11%,12.84%
17/09/2011 10:00,3.5,4.34,4.94,11.34%,9.18%,8.48%,8.99%,7.91%,10.16%,4.18%,14.13%,8.40%,12.03%,13.15%,12.88%
17/09/2011 11:00,3.5,4.35,4.95,11.49%,9.09%,8.56%,8.99%,8.05%,10.24%,4.19%,14.19%,8.35%,12.00%,13.06%,12.84%
17/09/2011 12:00,3.5,4.35,4.96,11.27%,9.09%,8.51%,8.92%,7.99%,10.25%,4.36%,14.04%,8.25%,12.00%,13.02%,12.88%
17/09/2011 13:00,3.5,4.36,4.98,11.39%,9.18%,8.48%,8.83%,7.99%,10.29%,4.11%,14.13%,8.46%,12.03%,13.07%,12.92%
17/09/2011 14:00,3.5,4.37,4.99,11.33%,9.00%,8.44%,8.83%,8.13%,10.29%,4.35%,14.04%,8.39%,12.03%,13.02%,12.95%
17/09/2011 15:00,3.5,4.38,5,11.36%,9.27%,8.42%,8.91%,7.99%,10.20%,4.41%,14.24%,8.38%,12.03%,13.19%,12.95%
17/09/2011 16:00,3.5,4.37,5,11.34%,9.00%,8.63%,8.82%,8.06%,10.33%,3.99%,14.04%,8.56%,11.83%,13.16%,12.95%
17/09/2011 17:00,3.5,4.37,5,11.41%,9.11%,8.58%,8.88%,8.05%,10.11%,3.99%,14.04%,8.33%,12.01%,13.15%,12.95%
17/09/2011 18:00,3.5,4.37,5,11.34%,9.11%,8.39%,8.91%,8.05%,10.21%,3.99%,14.04%,8.44%,12.07%,13.15%,12.95%
17/09/2011 19:00,3.5,4.37,5,11.28%,9.08%,8.39%,8.90%,7.96%,10.25%,4.11%,14.07%,8.33%,11.89%,13.06%,12.95%
17/09/2011 20:00,3.5,4.37,5,11.28%,9.11%,8.47%,8.86%,7.97%,10.17%,4.16%,14.04%,8.43%,12.04%,13.19%,12.95%
17/09/2011 21:00,3.51,4.37,4.99,11.33%,9.11%,8.64%,8.85%,8.16%,10.26%,4.05%,14.07%,8.51%,11.80%,13.19%,13.00%
17/09/2011 22:00,3.51,4.37,4.99,11.34%,9.11%,8.55%,8.80%,8.17%,10.29%,4.05%,14.07%,8.38%,12.06%,13.19%,12.95%
17/09/2011 23:00,3.5,4.35,4.96,11.54%,9.11%,8.42%,8.94%,8.28%,10.12%,3.93%,14.04%,8.51%,11.95%,13.12%,12.95%
18/09/2011 00:00,3.51,4.36,4.96,11.40%,9.11%,8.56%,8.90%,8.14%,10.25%,4.03%,14.16%,8.55%,12.03%,12.99%,12.95%
18/09/2011 01:00,3.5,4.35,4.95,11.51%,9.11%,8.59%,8.99%,8.13%,10.28%,4.21%,14.10%,8.41%,12.03%,13.07%,12.95%
18/09/2011 02:00,3.51,4.35,4.94,11.43%,9.09%,8.60%,8.90%,8.13%,10.23%,4.15%,14.19%,8.39%,12.00%,13.03%,12.95%
18/09/2011 03:00,3.51,4.34,4.94,11.36%,9.04%,8.83%,8.95%,8.13%,10.23%,4.05%,14.19%,8.40%,12.03%,13.19%,12.95%
18/09/2011 04:00,3.51,4.34,4.94,11.70%,9.17%,8.48%,8.90%,8.26%,10.20%,3.99%,14.24%,8.35%,12.03%,13.03%,12.95%
18/09/2011 05:00,3.51,4.35,4.95,11.57%,9.00%,8.68%,8.95%,8.16%,10.27%,4.16%,14.05%,8.43%,12.03%,13.03%,12.95%
18/09/2011 06:00,3.51,4.34,4.94,11.64%,9.09%,8.55%,8.91%,8.01%,10.16%,3.99%,14.07%,8.59%,12.03%,13.03%,12.95%
18/09/2011 07:00,3.51,4.35,4.95,11.44%,9.09%,8.38%,8.91%,8.18%,10.20%,4.05%,14.21%,8.21%,12.03%,13.03%,12.92%
18/09/2011 08:00,3.51,4.35,4.95,11.37%,9.18%,8.33%,8.90%,8.01%,10.16%,3.99%,14.21%,8.34%,12.03%,12.91%,12.95%
18/09/2011 09:00,3.51,4.34,4.94,11.46%,9.00%,8.53%,8.88%,8.17%,10.20%,3.99%,14.13%,8.28%,12.03%,13.11%,12.95%
18/09/2011 10:00,3.5,4.34,4.93,11.44%,9.11%,8.56%,9.00%,8.09%,10.29%,3.99%,14.04%,8.18%,11.95%,13.12%,12.95%
18/09/2011 11:00,3.51,4.34,4.94,11.27%,9.08%,8.65%,8.95%,8.26%,10.20%,4.23%,14.04%,8.34%,12.04%,13.19%,12.95%
18/09/2011 12:00,3.51,4.35,4.94,11.32%,9.08%,8.77%,8.91%,7.92%,10.20%,4.23%,14.04%,8.36%,12.07%,13.08%,12.95%
18/09/2011 13:00,3.51,4.35,4.94,11.42%,9.15%,8.49%,8.95%,8.00%,10.23%,4.11%,14.04%,8.28%,11.84%,13.24%,12.95%
18/09/2011 14:00,3.51,4.36,4.96,11.29%,9.15%,8.39%,8.92%,7.91%,10.32%,4.28%,14.04%,8.28%,11.87%,13.16%,12.95%
18/09/2011 15:00,3.51,4.36,4.97,11.30%,9.15%,8.48%,8.92%,7.86%,10.26%,3.99%,14.04%,8.11%,11.90%,13.14%,13.00%
18/09/2011 16:00,3.5,4.36,4.97,11.30%,9.20%,8.60%,8.92%,7.86%,10.26%,4.23%,14.07%,8.20%,12.00%,12.90%,12.95%
18/09/2011 17:00,3.5,4.36,4.98,11.23%,9.15%,8.44%,8.93%,8.00%,10.29%,3.99%,14.04%,8.40%,12.00%,12.91%,12.95%
18/09/2011 18:00,3.5,4.36,4.98,11.42%,9.06%,8.39%,8.91%,8.06%,10.14%,4.11%,14.04%,8.45%,11.96%,13.02%,13.00%
18/09/2011 19:00,3.51,4.37,4.98,11.39%,9.06%,8.58%,8.88%,7.99%,10.13%,4.35%,14.10%,8.44%,11.94%,13.16%,12.95%
18/09/2011 20:00,3.5,4.36,4.97,11.38%,9.15%,8.50%,8.84%,8.07%,10.29%,3.99%,14.04%,8.43%,12.00%,13.17%,13.00%
18/09/2011 21:00,3.5,4.35,4.96,11.35%,9.06%,8.51%,8.82%,7.98%,10.32%,4.22%,14.04%,8.44%,11.93%,13.13%,12.95%
18/09/2011 22:00,3.51,4.35,4.95,11.30%,9.20%,8.23%,8.91%,8.13%,10.33%,4.11%,14.07%,8.44%,11.97%,13.13%,12.95%
18/09/2011 23:00,3.51,4.35,4.94,11.47%,9.06%,8.39%,8.95%,8.08%,10.25%,3.99%,14.19%,8.45%,11.96%,13.13%,12.95%
19/09/2011 00:00,3.51,4.34,4.93,11.44%,9.20%,8.63%,8.88%,8.04%,10.40%,4.23%,14.19%,8.54%,11.96%,13.13%,12.95%
19/09/2011 01:00,3.51,4.35,4.94,11.27%,9.15%,8.58%,8.91%,7.89%,10.29%,4.11%,14.04%,8.42%,11.90%,13.01%,12.95%
19/09/2011 02:00,3.51,4.35,4.94,11.27%,9.15%,8.42%,8.87%,8.25%,10.36%,4.28%,14.10%,8.40%,11.96%,13.13%,13.00%
19/09/2011 03:00,3.51,4.34,4.94,11.34%,9.11%,8.57%,8.91%,8.11%,10.36%,4.35%,14.07%,8.58%,11.84%,13.13%,12.95%
19/09/2011 04:00,3.51,4.34,4.94,11.37%,8.88%,8.55%,8.95%,8.11%,10.32%,4.16%,14.04%,8.19%,11.87%,13.13%,13.05%
19/09/2011 05:00,3.51,4.35,4.94,11.41%,9.15%,8.55%,8.92%,8.05%,10.32%,4.11%,14.13%,8.16%,11.90%,13.13%,12.95%
19/09/2011 06:00,3.5,4.34,4.94,11.33%,9.14%,8.39%,8.85%,8.04%,10.36%,4.16%,14.13%,8.18%,11.87%,13.17%,12.95%
19/09/2011 07:00,3.5,4.33,4.93,11.42%,9.19%,8.46%,8.91%,7.94%,10.29%,4.23%,14.07%,8.29%,11.93%,13.13%,13.00%
19/09/2011 08:00,3.51,4.34,4.94,11.44%,9.19%,8.46%,8.97%,8.06%,10.32%,4.23%,14.04%,8.43%,11.97%,13.13%,13.00%
19/09/2011 09:00,3.51,4.34,4.93,11.41%,9.45%,8.25%,8.87%,7.86%,10.30%,4.47%,14.04%,8.22%,11.85%,13.17%,13.00%
19/09/2011 10:00,3.5,4.34,4.93,11.35%,9.26%,8.51%,9.00%,8.18%,10.36%,4.12%,14.16%,8.24%,11.85%,13.13%,13.05%
19/09/2011 11:00,3.5,4.34,4.94,11.37%,9.39%,8.45%,8.95%,7.80%,10.19%,4.36%,14.04%,8.11%,11.92%,13.13%,13.00%
19/09/2011 12:00,3.5,4.34,4.93,11.27%,9.39%,8.37%,8.97%,7.85%,9.97%,4.31%,14.04%,8.22%,11.98%,13.17%,13.05%
19/09/2011 13:00,3.5,4.34,4.93,11.25%,9.31%,8.50%,8.97%,7.75%,10.34%,4.36%,14.04%,8.17%,11.94%,13.20%,13.00%
19/09/2011 14:00,3.5,4.34,4.94,11.25%,9.13%,8.42%,8.95%,7.97%,10.21%,4.23%,14.16%,8.10%,11.91%,13.11%,13.18%
19/09/2011 15:00,3.51,4.36,4.96,11.16%,9.13%,8.53%,8.91%,7.89%,10.16%,3.99%,14.04%,8.15%,11.94%,13.29%,13.18%
19/09/2011 16:00,3.5,4.36,4.98,11.43%,9.13%,8.53%,9.00%,7.70%,10.12%,3.98%,14.04%,8.22%,12.08%,13.25%,13.16%
19/09/2011 17:00,3.5,4.35,4.96,11.40%,9.13%,8.53%,9.04%,7.70%,10.20%,3.89%,14.07%,8.23%,11.95%,13.11%,13.15%
19/09/2011 18:00,3.5,4.35,4.95,11.28%,9.24%,8.50%,9.00%,7.85%,10.17%,3.72%,14.07%,8.14%,11.95%,13.18%,12.93%
19/09/2011 19:00,3.51,4.35,4.95,11.25%,9.13%,8.53%,9.04%,7.80%,10.23%,3.95%,14.22%,8.28%,11.98%,12.98%,12.93%
19/09/2011 20:00,3.5,4.35,4.95,11.24%,9.24%,8.57%,9.00%,7.70%,10.32%,3.88%,14.10%,8.44%,11.98%,12.97%,13.02%
19/09/2011 21:00,3.51,4.35,4.95,11.38%,9.28%,8.53%,8.95%,7.90%,10.23%,3.96%,14.10%,8.51%,11.83%,13.02%,12.93%
19/09/2011 22:00,3.51,4.35,4.95,11.28%,9.28%,8.57%,8.99%,8.01%,10.24%,3.88%,14.18%,8.48%,12.17%,13.02%,12.93%
19/09/2011 23:00,3.51,4.36,4.95,11.41%,9.28%,8.61%,8.99%,8.46%,10.23%,3.89%,14.18%,8.34%,11.96%,13.00%,13.11%
20/09/2011 00:00,3.51,4.35,4.95,11.33%,9.28%,8.53%,9.04%,7.97%,10.28%,3.84%,14.18%,8.43%,12.09%,13.08%,12.88%
20/09/2011 01:00,3.51,4.35,4.96,11.37%,9.28%,8.57%,8.95%,8.11%,10.23%,4.36%,14.15%,8.57%,12.13%,13.11%,12.93%
20/09/2011 02:00,3.51,4.35,4.95,11.33%,9.19%,8.53%,9.04%,8.10%,10.27%,4.07%,14.15%,8.38%,11.92%,13.18%,12.93%
20/09/2011 03:00,3.51,4.35,4.95,11.33%,9.28%,8.61%,8.99%,7.82%,10.32%,3.77%,14.10%,8.41%,11.93%,13.14%,12.93%
20/09/2011 04:00,3.51,4.35,4.95,11.41%,9.28%,8.50%,8.95%,7.86%,10.35%,4.01%,14.15%,8.07%,11.93%,13.14%,12.93%
20/09/2011 05:00,3.51,4.34,4.94,11.28%,9.19%,8.57%,8.90%,7.90%,10.32%,4.02%,14.18%,8.14%,12.02%,13.27%,12.93%
20/09/2011 06:00,3.51,4.34,4.94,11.20%,9.19%,8.61%,8.90%,7.80%,10.38%,4.01%,14.10%,8.20%,11.98%,13.20%,12.93%
20/09/2011 07:00,3.51,4.34,4.94,11.26%,9.28%,8.61%,8.99%,7.80%,10.26%,3.77%,14.18%,8.05%,12.02%,13.20%,12.93%
20/09/2011 08:00,3.51,4.34,4.94,11.33%,9.28%,8.57%,8.90%,7.85%,10.38%,3.88%,14.18%,8.25%,11.99%,13.14%,12.93%
20/09/2011 09:00,3.51,4.34,4.93,11.48%,9.19%,8.56%,8.95%,7.79%,10.35%,3.88%,14.15%,8.19%,12.07%,13.18%,12.93%
20/09/2011 10:00,3.5,4.34,4.94,11.38%,9.28%,8.64%,8.86%,7.98%,10.28%,3.77%,14.18%,8.17%,12.10%,13.27%,12.93%
20/09/2011 11:00,3.51,4.35,4.96,11.32%,9.10%,8.42%,9.04%,8.06%,10.42%,3.94%,14.18%,8.21%,12.06%,13.23%,12.93%
20/09/2011 12:00,3.5,4.35,4.95,11.21%,9.10%,8.59%,9.04%,7.90%,10.44%,4.13%,14.15%,8.25%,11.88%,13.19%,12.93%
20/09/2011 13:00,3.51,4.36,4.95,11.24%,9.10%,8.61%,9.04%,7.94%,10.45%,3.89%,14.18%,8.25%,11.87%,13.04%,12.93%
20/09/2011 14:00,3.51,4.36,4.97,11.19%,8.92%,8.60%,9.04%,7.85%,10.43%,3.96%,14.18%,8.21%,11.91%,13.27%,12.93%
20/09/2011 15:00,3.51,4.37,4.98,11.12%,8.99%,8.43%,8.90%,7.90%,10.34%,3.83%,14.13%,8.16%,11.93%,13.08%,13.00%
20/09/2011 16:00,3.5,4.37,5,11.12%,8.99%,8.64%,9.04%,8.10%,10.49%,3.88%,14.18%,8.28%,11.82%,13.19%,12.91%
20/09/2011 17:00,3.5,4.37,5,11.09%,9.08%,8.51%,8.86%,8.15%,10.29%,3.94%,14.18%,8.26%,11.80%,13.13%,12.89%
20/09/2011 18:00,3.5,4.36,4.97,11.24%,9.07%,8.59%,8.95%,7.97%,10.28%,3.94%,14.18%,8.14%,11.91%,13.05%,12.80%
20/09/2011 19:00,3.5,4.36,4.97,11.19%,9.07%,8.45%,8.81%,7.83%,10.28%,3.88%,14.18%,8.17%,12.03%,13.20%,12.98%
20/09/2011 20:00,3.5,4.37,4.99,11.24%,9.07%,8.37%,8.77%,7.74%,10.28%,4.00%,14.18%,8.28%,11.95%,13.08%,12.80%
20/09/2011 21:00,3.5,4.36,4.98,11.36%,9.07%,8.43%,8.72%,7.80%,10.25%,4.23%,14.18%,8.38%,11.74%,13.08%,12.71%
20/09/2011 22:00,3.51,4.36,4.96,11.39%,9.07%,8.38%,8.63%,7.90%,10.32%,3.94%,14.18%,8.42%,11.88%,12.96%,12.71%
20/09/2011 23:00,3.51,4.35,4.95,11.55%,9.07%,8.61%,8.68%,8.09%,10.28%,4.06%,14.18%,8.44%,11.78%,13.07%,12.71%
21/09/2011 00:00,3.51,4.35,4.96,11.32%,9.07%,8.56%,8.68%,7.87%,10.31%,4.00%,14.18%,8.37%,11.83%,13.07%,12.71%
21/09/2011 01:00,3.51,4.35,4.95,11.30%,9.07%,8.29%,8.68%,7.95%,10.32%,3.88%,14.18%,8.38%,11.91%,13.04%,12.71%
21/09/2011 02:00,3.51,4.35,4.96,11.28%,9.07%,8.32%,8.72%,7.91%,10.40%,4.00%,14.18%,8.42%,11.83%,13.10%,12.80%
21/09/2011 03:00,3.51,4.35,4.95,11.42%,9.07%,8.41%,8.68%,8.08%,10.41%,3.88%,14.18%,8.35%,11.95%,13.07%,12.71%
21/09/2011 04:00,3.51,4.34,4.95,11.41%,9.07%,8.45%,8.68%,8.22%,10.25%,3.94%,14.18%,8.20%,11.95%,13.07%,12.71%
21/09/2011 05:00,3.51,4.34,4.95,11.35%,9.07%,8.34%,8.68%,7.90%,10.25%,3.88%,14.18%,8.23%,12.13%,13.07%,12.71%
21/09/2011 06:00,3.51,4.35,4.95,11.27%,9.07%,8.38%,8.68%,7.90%,10.44%,3.88%,14.18%,8.29%,12.07%,13.10%,12.71%
21/09/2011 07:00,3.51,4.34,4.94,11.28%,9.07%,8.50%,8.72%,7.89%,10.25%,3.88%,14.18%,8.34%,11.94%,13.07%,12.71%
21/09/2011 08:00,3.51,4.34,4.94,11.20%,9.07%,8.37%,8.63%,7.83%,10.37%,3.88%,14.18%,8.08%,11.98%,13.07%,12.71%
21/09/2011 09:00,3.51,4.34,4.94,11.35%,9.07%,8.46%,8.79%,7.92%,10.49%,4.12%,14.18%,8.29%,11.98%,13.07%,12.71%
21/09/2011 10:00,3.51,4.35,4.95,11.40%,9.07%,8.37%,8.68%,7.87%,10.28%,3.94%,14.18%,8.11%,11.92%,13.00%,12.71%
21/09/2011 11:00,3.51,4.35,4.96,11.37%,9.07%,8.37%,8.71%,8.14%,10.32%,4.11%,14.18%,8.10%,11.83%,13.07%,12.71%
21/09/2011 12:00,3.5,4.35,4.95,11.28%,9.07%,8.45%,8.75%,8.09%,10.28%,3.94%,14.18%,8.17%,11.91%,13.10%,12.71%
21/09/2011 13:00,3.51,4.36,4.96,11.09%,9.07%,8.37%,8.67%,8.23%,10.25%,3.88%,14.18%,8.14%,11.94%,13.07%,12.71%
21/09/2011 14:00,3.5,4.36,4.97,11.12%,9.07%,8.37%,8.68%,8.00%,10.32%,4.00%,14.18%,8.25%,11.76%,13.03%,12.78%
